 # time              Etot              Ltot
   0.37600001E+002  -0.14361487E+007   0.29827648E+009
   0.37700001E+002  -0.14369544E+007   0.29827648E+009
   0.37800001E+002  -0.14377823E+007   0.29827648E+009
   0.37900001E+002  -0.14386330E+007   0.29827647E+009
   0.38000001E+002  -0.14395071E+007   0.29827647E+009
   0.38100001E+002  -0.14404051E+007   0.29827647E+009
   0.38200001E+002  -0.14413276E+007   0.29827647E+009
   0.38300001E+002  -0.14422754E+007   0.29827646E+009
   0.38400001E+002  -0.14432491E+007   0.29827646E+009
   0.38500001E+002  -0.14442495E+007   0.29827646E+009
   0.38600001E+002  -0.14452772E+007   0.29827646E+009
   0.38700001E+002  -0.14463330E+007   0.29827646E+009
   0.38800001E+002  -0.14474178E+007   0.29827645E+009
   0.38900001E+002  -0.14485324E+007   0.29827645E+009
   0.39000001E+002  -0.14496778E+007   0.29827645E+009
   0.39100001E+002  -0.14508547E+007   0.29827645E+009
   0.39200001E+002  -0.14520643E+007   0.29827645E+009
   0.39300001E+002  -0.14533075E+007   0.29827644E+009
   0.39400001E+002  -0.14545854E+007   0.29827644E+009
   0.39500001E+002  -0.14558991E+007   0.29827644E+009
   0.39600001E+002  -0.14572498E+007   0.29827644E+009
   0.39700001E+002  -0.14586386E+007   0.29827644E+009
   0.39800001E+002  -0.14600670E+007   0.29827643E+009
   0.39900001E+002  -0.14615362E+007   0.29827643E+009
   0.40000001E+002  -0.14630477E+007   0.29827643E+009
   0.40100001E+002  -0.14646029E+007   0.29827643E+009
   0.40200001E+002  -0.14662034E+007   0.29827642E+009
   0.40300001E+002  -0.14678508E+007   0.29827642E+009
   0.40400001E+002  -0.14695468E+007   0.29827642E+009
   0.40500001E+002  -0.14712933E+007   0.29827642E+009
   0.40600001E+002  -0.14730922E+007   0.29827642E+009
   0.40700001E+002  -0.14749454E+007   0.29827641E+009
   0.40800001E+002  -0.14768551E+007   0.29827641E+009
   0.40900001E+002  -0.14788235E+007   0.29827641E+009
   0.41000001E+002  -0.14808530E+007   0.29827641E+009
   0.41100001E+002  -0.14829459E+007   0.29827641E+009
   0.41200001E+002  -0.14851051E+007   0.29827640E+009
   0.41300001E+002  -0.14873331E+007   0.29827640E+009
   0.41400001E+002  -0.14896330E+007   0.29827640E+009
   0.41500001E+002  -0.14920078E+007   0.29827640E+009
   0.41600001E+002  -0.14944609E+007   0.29827639E+009
   0.41700001E+002  -0.14969957E+007   0.29827639E+009
   0.41800001E+002  -0.14996159E+007   0.29827639E+009
   0.41900001E+002  -0.15023255E+007   0.29827639E+009
   0.42000001E+002  -0.15051286E+007   0.29827639E+009
   0.42100001E+002  -0.15080297E+007   0.29827638E+009
   0.42200001E+002  -0.15110334E+007   0.29827638E+009
   0.42300001E+002  -0.15141450E+007   0.29827638E+009
   0.42400001E+002  -0.15173697E+007   0.29827638E+009
   0.42500001E+002  -0.15207133E+007   0.29827638E+009
   0.42600001E+002  -0.15241820E+007   0.29827637E+009
   0.42700001E+002  -0.15277823E+007   0.29827637E+009
   0.42800001E+002  -0.15315214E+007   0.29827637E+009
   0.42900001E+002  -0.15354069E+007   0.29827637E+009
   0.43000001E+002  -0.15394468E+007   0.29827637E+009
   0.43100001E+002  -0.15436501E+007   0.29827636E+009
   0.43200001E+002  -0.15480261E+007   0.29827636E+009
   0.43300001E+002  -0.15525851E+007   0.29827636E+009
   0.43400001E+002  -0.15573381E+007   0.29827636E+009
   0.43500001E+002  -0.15622971E+007   0.29827635E+009
   0.43600001E+002  -0.15674751E+007   0.29827635E+009
   0.43700001E+002  -0.15728861E+007   0.29827635E+009
   0.43800001E+002  -0.15785455E+007   0.29827635E+009
   0.43900001E+002  -0.15844699E+007   0.29827635E+009
   0.44000001E+002  -0.15906776E+007   0.29827634E+009
   0.44100001E+002  -0.15971886E+007   0.29827634E+009
   0.44200001E+002  -0.16040247E+007   0.29827634E+009
   0.44300001E+002  -0.16112100E+007   0.29827634E+009
   0.44400001E+002  -0.16187709E+007   0.29827634E+009
   0.44500001E+002  -0.16267367E+007   0.29827633E+009
   0.44600001E+002  -0.16351397E+007   0.29827633E+009
   0.44700001E+002  -0.16440157E+007   0.29827633E+009
   0.44800001E+002  -0.16534048E+007   0.29827633E+009
   0.44900001E+002  -0.16633515E+007   0.29827633E+009
   0.45000001E+002  -0.16739057E+007   0.29827632E+009
   0.45100001E+002  -0.16851233E+007   0.29827632E+009
   0.45200001E+002  -0.16970676E+007   0.29827632E+009
   0.45300001E+002  -0.17098099E+007   0.29827632E+009
   0.45400001E+002  -0.17234314E+007   0.29827632E+009
   0.45500001E+002  -0.17380244E+007   0.29827631E+009
   0.45600001E+002  -0.17536951E+007   0.29827631E+009
   0.45700001E+002  -0.17705653E+007   0.29827631E+009
   0.45800001E+002  -0.17887760E+007   0.29827631E+009
   0.45900001E+002  -0.18084914E+007   0.29827630E+009
   0.46000001E+002  -0.18299034E+007   0.29827630E+009
   0.46100001E+002  -0.18532383E+007   0.29827630E+009
   0.46200001E+002  -0.18787642E+007   0.29827630E+009
   0.46300001E+002  -0.19068018E+007   0.29827630E+009
   0.46400001E+002  -0.19377373E+007   0.29827629E+009
   0.46500001E+002  -0.19720405E+007   0.29827629E+009
   0.46600001E+002  -0.20102889E+007   0.29827629E+009
   0.46700001E+002  -0.20531995E+007   0.29827629E+009
   0.46800001E+002  -0.21016746E+007   0.29827629E+009
   0.46900001E+002  -0.21568654E+007   0.29827628E+009
   0.47000001E+002  -0.22202641E+007   0.29827628E+009
   0.47100001E+002  -0.22938406E+007   0.29827628E+009
   0.47200001E+002  -0.23802496E+007   0.29827628E+009
   0.47300001E+002  -0.24831576E+007   0.29827628E+009
   0.47400001E+002  -0.26077744E+007   0.29827627E+009
   0.47500001E+002  -0.27617616E+007   0.29827627E+009
   0.47600001E+002  -0.29568670E+007   0.29827627E+009
   0.47700001E+002  -0.32120674E+007   0.29827627E+009
   0.47800001E+002  -0.35601409E+007   0.29827626E+009
